"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 23 12:14:11 UTC 2026","Mon Feb 23 12:14:22 UTC 2026","10640","","com.elvira.tests.TodoTest","","com.elvira.tests.TodoTest","userCanAddTodo","userCanAddTodo(Page)","Assert that user can add a new todo item"
"passed","Mon Feb 23 12:07:52 UTC 2026","Mon Feb 23 12:11:15 UTC 2026","203110","","com.elvira.tests.TodoTest","","com.elvira.tests.TodoTest","userCanFilterCompletedTasks","userCanFilterCompletedTasks()","Verify that user can add a new todo item"
"passed","Mon Feb 23 12:07:52 UTC 2026","Mon Feb 23 12:11:15 UTC 2026","203133","","com.elvira.tests.HomePageTest","","com.elvira.tests.HomePageTest","UserCanOpenDocsPage","UserCanOpenDocsPage()","Verify that user can asserthat Get started"
"passed","Mon Feb 23 12:07:52 UTC 2026","Mon Feb 23 12:11:15 UTC 2026","203110","","com.elvira.tests.TodoTest","","com.elvira.tests.TodoTest","userCanCompleteTodo","userCanCompleteTodo()","Verify that user can add a new todo item"
"passed","Mon Feb 23 12:07:52 UTC 2026","Mon Feb 23 12:11:15 UTC 2026","203110","","com.elvira.tests.TodoTest","","com.elvira.tests.TodoTest","userCanAddTodo","userCanAddTodo()","Verify that user can add a new todo item"
"passed","Mon Feb 23 12:14:11 UTC 2026","Mon Feb 23 12:14:22 UTC 2026","10655","","com.elvira.tests.TodoTest","","com.elvira.tests.TodoTest","userCanCompleteTodo","userCanCompleteTodo(Page)","Assert that user can add a new todo item"
"passed","Mon Feb 23 12:07:52 UTC 2026","Mon Feb 23 12:11:14 UTC 2026","201686","","com.elvira.PlaywrightTest","","com.elvira.PlaywrightTest","openPlaywrightSite","openPlaywrightSite()",""
"passed","Mon Feb 23 12:07:52 UTC 2026","Mon Feb 23 12:11:16 UTC 2026","203478","","com.elvira.tests.TodoTest","","com.elvira.tests.TodoTest","userCanAddTodoItem","userCanAddTodoItem()","Verify that user can add a new todo item"
"passed","Mon Feb 23 12:14:11 UTC 2026","Mon Feb 23 12:14:22 UTC 2026","10642","","com.elvira.tests.TodoTest","","com.elvira.tests.TodoTest","userCanAddTodoItem","userCanAddTodoItem(Page)","Assert that user can add a new todo item"
"passed","Mon Feb 23 12:14:11 UTC 2026","Mon Feb 23 12:14:22 UTC 2026","10826","","com.elvira.tests.TodoTest","","com.elvira.tests.TodoTest","userCanFilterCompletedTasks","userCanFilterCompletedTasks(Page)","Verify that user can add a new todo item"
